event_name,block_number,txhash,log_index,timestamp,_balance,_blackListedUser,maxFee,newAddress,amount,_user,feeBasisPoints,contract_address,msg.sender
AddedBlackList,13462060,0x655f081df45f52508047a2fd96c92a41b6786e365b15cc35a9fda08b29249e6f,13,2021-10-21T16:22:51,,,,,,0x0CDF9acd87E940837ff21BB40c9fd55F68bba059,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
AddedBlackList,13462065,0x1c2a8c2ab922500ee3cb7a38c54f040d252c6551bf03924ad2b6a2065c398cdb,83,2021-10-21T16:23:37,,,,,,0x1B1adcDB3502d4a92e53db16840165466F3c6236,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
DestroyedBlackFunds,13461995,0x2b002ac4400d121a1c6ad2426cf6e512efb83c3648102d1615afa182fa15d906,4,2021-10-21T16:08:48,72980000000.0,0x42476F744292107e34519F9c357927074Ea3F75D,,,,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
DestroyedBlackFunds,13462001,0x8d20a12abec9efe52340dcea2a0a2ef217e88f27f7a64f9d335b3bd98abe822c,1,2021-10-21T16:09:25,1364587798699.0,0xdAC17F958D2ee523a2206206994597C13D831ec7,,,,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
DestroyedBlackFunds,13462004,0x5efd0eef0f81f54f8741d69304859e38580ff83610a48f28b99dd57db759359a,25,2021-10-21T16:10:39,22393509077090.0,0x0000000000000000000000000000000000000000,,,,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
DestroyedBlackFunds,13462011,0xda8968286625ccdd522d6c0b9c63bfddae33fe762cbbe14d482f4558bbdc185c,3,2021-10-21T16:11:51,3830160936.0,0x55d398326f99059fF775485246999027B3197955,,,,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
AddedBlackList,13462151,0xb5576ff4e911fa444bf6fee8954e317e01de54570ca461f873b819b62e353b21,53,2021-10-21T16:41:49,,,,,,0xAACa86B876ca011844b5798ECA7a67591A9743C8,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
AddedBlackList,13462155,0x3cbd49908576a68d846b8b2048693b08d7833b3fabc6094d8451143f4e6d3139,7,2021-10-21T16:43:19,,,,,,0x49e48c946593D793e0ea06CEb371eEb3E5a1eA52,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
DestroyedBlackFunds,13462187,0xfbaa4a14d420a31fe0b99588ff907cb4c12eeb1a98820d6e14262ae78d3a6fad,22,2021-10-21T16:50:01,4933540754.0,0xf3AE5d769e153Ef72b4e3591aC004E89F48107a1,,,,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
DestroyedBlackFunds,13462188,0xa3005bbd5dc05102d016050e26a020d6677d950f66874b8806c1dc45b4e01237,47,2021-10-21T16:50:46,4346642548.0,0x7405a6b74df0952FF97F5D7DF5Af9Fd112eeBA98,,,,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
